,Unnamed: 0,Unnamed: 0.1,max_leaf_nodes,max_depth,test_score,train_score,train_minus_test
25,72,8015,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
36,81,8524,26,8,0.9074192048657398,0.9078397915744852,0.0004205867087453408
37,80,8525,26,9,0.9074192048657398,0.9078397915744852,0.0004205867087453408
34,83,8528,26,12,0.9074192048657398,0.9078397915744852,0.0004205867087453408
33,84,8405,26,18,0.9074192048657398,0.9078397915744852,0.0004205867087453408
32,85,8530,26,14,0.9074192048657398,0.9078397915744852,0.0004205867087453408
31,86,8531,26,15,0.9074192048657398,0.9078397915744852,0.0004205867087453408
30,87,8532,26,16,0.9074192048657398,0.9078397915744852,0.0004205867087453408
29,88,8533,26,17,0.9074192048657398,0.9078397915744852,0.0004205867087453408
28,89,8534,26,18,0.9074192048657398,0.9078397915744852,0.0004205867087453408
27,90,8527,26,11,0.9074192048657398,0.9078397915744852,0.0004205867087453408
26,1,8145,26,13,0.9074192048657398,0.9078397915744852,0.0004205867087453408
98,91,7397,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
104,96,7518,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
103,92,8012,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
102,93,6923,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
101,94,7640,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
100,95,7277,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
99,97,7040,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
91,98,7763,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
97,99,8522,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
95,101,7158,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
94,102,8138,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
93,103,8393,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
92,104,7887,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
96,100,8265,26,6,0.9069481033245728,0.9073723745994936,0.00042427127492084
310,112,5792,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
317,106,7390,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
316,107,7391,25,17,0.9063109911293455,0.906764697162479,0.00045370603313343866
315,108,7392,25,18,0.9063109911293455,0.906764697162479,0.00045370603313343866
314,109,7393,25,19,0.9063109911293455,0.906764697162479,0.00045370603313343866
313,110,5794,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
312,111,5793,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
311,140,7270,25,16,0.9063109911293455,0.906764697162479,0.00045370603313343866
307,116,7388,25,14,0.9063109911293455,0.906764697162479,0.00045370603313343866
309,114,7502,25,7,0.9063109911293455,0.906764697162479,0.00045370603313343866
308,115,7503,25,8,0.9063109911293455,0.906764697162479,0.00045370603313343866
319,121,7508,25,13,0.9063109911293455,0.906764697162479,0.00045370603313343866
306,117,7504,25,9,0.9063109911293455,0.906764697162479,0.00045370603313343866
305,118,7505,25,10,0.9063109911293455,0.906764697162479,0.00045370603313343866
304,119,7506,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
303,120,7507,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
302,113,5691,25,12,0.9063109911293455,0.906764697162479,0.00045370603313343866
318,105,7265,25,11,0.9063109911293455,0.906764697162479,0.00045370603313343866
