n_estimators,criterion,max_depth,test_score,train_score,fit_time
28,mae,2,0.7386715412476683,0.7636193583664689,[0.43565893 0.42042303 0.42529583 0.43041396 0.42125297]
28,mae,3,0.8088939569849523,0.8427016620124558,[0.58396316 0.56742287 0.56612897 0.56219101 0.53967786]
28,mae,4,0.8400917810976564,0.8914817031089385,[0.70699692 0.68850207 0.67457223 0.66428685 0.66134405]
28,mae,5,0.8527308330147634,0.9148848501792516,[0.79591274 0.78159213 0.7489481  0.76529598 0.743325  ]
29,mse,2,0.7668996737174856,0.8002872763816813,[0.05311894 0.05030918 0.05123687 0.04996705 0.05086899]
29,mse,3,0.8136703936747705,0.86222662308608,[0.06232405 0.05980706 0.06076431 0.06035089 0.05997801]
29,mse,4,0.8422467301848251,0.8950770949624449,[0.07336092 0.07045603 0.07047439 0.06977415 0.07119489]
29,mse,5,0.8529518390533639,0.913708887160866,[0.08032203 0.08100796 0.08604884 0.07989097 0.0796001 ]
29,mae,2,0.739261619544078,0.7634070076499198,[0.44855976 0.43661213 0.44613099 0.44338202 0.42865109]
29,mae,3,0.8091415294261244,0.8424809109892488,[0.60519195 0.58344507 0.59034991 0.5709908  0.56269217]
29,mae,4,0.8397511177670014,0.8914494787487348,[0.72449422 0.70763874 0.70506716 0.69749808 0.67133284]
29,mae,5,0.8524881184020979,0.9148621472230992,[0.81319809 0.81705809 0.78186679 0.78779697 0.76037192]
30,mse,2,0.7678128537301443,0.8010976731383067,[0.05529189 0.05400991 0.0587821  0.05237412 0.05248904]
30,mse,3,0.8135571295454359,0.8619123867985273,[0.06423402 0.06279516 0.06289911 0.06376314 0.06331301]
30,mse,4,0.8420869923755703,0.8949040083350454,[0.07508087 0.07287025 0.0733161  0.07244515 0.0737431 ]
30,mse,5,0.8533283431456027,0.9137225417345296,[0.08459306 0.08435106 0.08212495 0.08382201 0.08236814]
30,mae,2,0.7399648321299068,0.7638936442881509,[0.46985602 0.45204401 0.46018982 0.46355104 0.4547298 ]
30,mae,3,0.8095651678757504,0.8431170504834059,[0.62426639 0.59957576 0.60988092 0.59247398 0.60748696]
30,mae,4,0.8403173634713899,0.8914531478102834,[0.76271987 0.74326301 0.71028304 0.72691298 0.69751596]
30,mae,5,0.852993000681473,0.9150010852067804,[0.8429749  0.84379387 0.79692793 0.81013513 0.80074334]
31,mse,2,0.7681760668998662,0.8012475006477973,[0.058851   0.05314517 0.0545752  0.05298376 0.05284405]
31,mse,3,0.8128829799168548,0.8619009410296007,[0.06716704 0.06474328 0.06567931 0.06427598 0.06554604]
31,mse,4,0.8415695454512638,0.8949482503539,[0.07706618 0.07513595 0.07573795 0.07470274 0.07457995]
31,mse,5,0.8528634421308334,0.9139126946036156,[0.0868969  0.08694077 0.08555913 0.08599496 0.08676791]
31,mae,2,0.7387078212475576,0.7624067768787899,[0.48287892 0.46578789 0.47586894 0.46515512 0.45617676]
31,mae,3,0.809630498571928,0.8427031441020268,[0.64502883 0.62239265 0.62137794 0.61123681 0.59794998]
31,mae,4,0.8397172621426803,0.8913645059238033,[0.77105689 0.76611805 0.73723435 0.7357161  0.72467709]
31,mae,5,0.8525499783113057,0.915109160505304,[0.8751142  0.87574315 0.83132505 0.84466028 0.81268191]
32,mse,2,0.767906553085527,0.8011159013862026,[0.05739617 0.05669093 0.05616689 0.05559397 0.05646014]
32,mse,3,0.8133062835764454,0.8624512036389976,[0.0676837  0.06601191 0.06812596 0.06638622 0.06617808]
32,mse,4,0.8417929454803443,0.8951885357473188,[0.07952094 0.07867599 0.07804179 0.07731199 0.07718611]
32,mse,5,0.8531238667151033,0.9141723050950764,[0.08811688 0.08739209 0.0874989  0.08701897 0.08734107]
32,mae,2,0.7375942793012472,0.7618957432310132,[0.49724817 0.47738481 0.50373292 0.48835802 0.49508524]
32,mae,3,0.8097580599668742,0.8426187303891914,[0.67479897 0.64361191 0.64128494 0.63155389 0.62252307]
32,mae,4,0.8397582681382307,0.8917255445474543,[0.79452586 0.78701377 0.75376606 0.76562214 0.7410388 ]
32,mae,5,0.8527798144976165,0.9152179729069544,[0.89409304 0.90017605 0.85060501 0.86651015 0.83583498]
33,mse,2,0.7670767743905644,0.8011914619887616,[0.06029606 0.05715728 0.05714631 0.05682302 0.05668306]
33,mse,3,0.8128618205372786,0.8625942042316821,[0.07048106 0.06877327 0.06988573 0.06863499 0.06889391]
33,mse,4,0.8413049432729501,0.8952495434633196,[0.08237314 0.08237791 0.0793829  0.0810349  0.07982326]
33,mse,5,0.8526111057091776,0.9142285022307602,[0.09139204 0.09092712 0.08938503 0.08995891 0.09025669]
33,mae,2,0.7373668125910673,0.7612126334125401,[0.51185989 0.49311805 0.50232506 0.50168133 0.48021197]
33,mae,3,0.8092323291067263,0.8422192036309257,[0.682127   0.66616011 0.6574347  0.64424706 0.64074326]
33,mae,4,0.840154242487783,0.8920173846974239,[0.82560587 0.81979108 0.77708387 0.78453302 0.77249599]
33,mae,5,0.8524836580863437,0.9152930601866848,[0.9297359  0.92707419 0.87383389 0.89047384 0.86037302]
34,mse,2,0.7668147365043986,0.8015310531457184,[0.06018114 0.05779362 0.05898285 0.05842686 0.05846286]
34,mse,3,0.8126540692990106,0.8626906991127749,[0.07390809 0.07128096 0.07117105 0.07114601 0.07045197]
34,mse,4,0.8410127871185173,0.8954062316180307,[0.08371115 0.08327127 0.08283591 0.08264089 0.08189487]
34,mse,5,0.8524277368502462,0.9143263173827734,[0.09487891 0.09467506 0.09383225 0.09326792 0.09452319]
34,mae,2,0.7370956400610374,0.7614034022293167,[0.52604485 0.50636911 0.53354025 0.512187   0.49919891]
34,mae,3,0.8084438606733592,0.842437353503113,[0.71227813 0.69706178 0.67615986 0.68317413 0.65894675]
34,mae,4,0.8399502529995402,0.8920636184625079,[0.86434197 0.84292603 0.80003786 0.81278467 0.79842019]
34,mae,5,0.8532719402281508,0.9153744906642952,[0.95016885 0.95508194 0.91784501 0.92515874 0.89837098]
35,mse,2,0.7670171382862242,0.802076713334545,[0.06638598 0.06930017 0.06545401 0.06965113 0.06298423]
35,mse,3,0.8120053119343711,0.8626372013980269,[0.07592988 0.07341194 0.07385612 0.07178497 0.07330203]
35,mse,4,0.8401048292480423,0.8952969253264298,[0.08553314 0.08508587 0.08446789 0.08411098 0.08484912]
35,mse,5,0.8516262662137674,0.9141726600041368,[0.09692097 0.09806013 0.09842181 0.09704661 0.09542394]
