index,level_0,level_1,correlation
283,AIR_TIME,ELAPSED_TIME,0.9900639870118619
284,AIR_TIME,AIR_TIME,1.0
285,AIR_TIME,DISTANCE,0.9856736565590898
286,AIR_TIME,WHEELS_ON,0.02243964251452802
287,AIR_TIME,TAXI_IN,0.08215417077562634
288,AIR_TIME,SCHEDULED_ARRIVAL,0.02938449151856986
289,AIR_TIME,ARRIVAL_TIME,0.019163301874949305
290,AIR_TIME,ARRIVAL_DELAY,-0.007009707108978706
291,AIR_TIME,AIR_SYSTEM_DELAY,0.05492327262266424
292,AIR_TIME,SECURITY_DELAY,0.006635554761756093
293,AIR_TIME,AIRLINE_DELAY,0.021192957568491093
294,AIR_TIME,LATE_AIRCRAFT_DELAY,-0.06539961806566501
295,AIR_TIME,WEATHER_DELAY,-0.002811676018412891
296,DISTANCE,MONTH,0.011379081225000474
297,DISTANCE,DAY,0.0029741799161891068
298,DISTANCE,DAY_OF_WEEK,0.017133546880321177
299,DISTANCE,FLIGHT_NUMBER,-0.331220014538314
300,DISTANCE,SCHEDULED_DEPARTURE,-0.009479252762013855
301,DISTANCE,DEPARTURE_TIME,-0.01615371528416073
302,DISTANCE,DEPARTURE_DELAY,0.0245002972993872
303,DISTANCE,TAXI_OUT,0.07310269774105137
304,DISTANCE,WHEELS_OFF,-0.027142816893634004
305,DISTANCE,SCHEDULED_TIME,0.984348218637489
306,DISTANCE,ELAPSED_TIME,0.973743868779246
307,DISTANCE,AIR_TIME,0.9856736565590898
308,DISTANCE,DISTANCE,1.0
309,DISTANCE,WHEELS_ON,0.01881051120864862
310,DISTANCE,TAXI_IN,0.07484016629361466
311,DISTANCE,SCHEDULED_ARRIVAL,0.02727646964015326
312,DISTANCE,ARRIVAL_TIME,0.01497437971102314
313,DISTANCE,ARRIVAL_DELAY,-0.025233093002696227
314,DISTANCE,DIVERTED,0.011912149585026096
315,DISTANCE,CANCELLED,-0.03274236410138068
316,DISTANCE,AIR_SYSTEM_DELAY,0.013982483216605971
317,DISTANCE,SECURITY_DELAY,0.007281588599408322
318,DISTANCE,AIRLINE_DELAY,0.0350917813274648
319,DISTANCE,LATE_AIRCRAFT_DELAY,-0.04619409142512655
320,DISTANCE,WEATHER_DELAY,-0.006292720927780884
321,WHEELS_ON,MONTH,-0.008115747640959401
322,WHEELS_ON,DAY,-0.004174194960583
323,WHEELS_ON,DAY_OF_WEEK,0.00531432992846207
324,WHEELS_ON,FLIGHT_NUMBER,-0.007207436387941285
325,WHEELS_ON,SCHEDULED_DEPARTURE,0.656183729320938
326,WHEELS_ON,DEPARTURE_TIME,0.6757370702081954
327,WHEELS_ON,DEPARTURE_DELAY,0.05812041768520088
328,WHEELS_ON,TAXI_OUT,0.033194516848420993
329,WHEELS_ON,WHEELS_OFF,0.6955999618382401
330,WHEELS_ON,SCHEDULED_TIME,0.023143624396071684
331,WHEELS_ON,ELAPSED_TIME,0.025425579056998097
332,WHEELS_ON,AIR_TIME,0.02243964251452802
333,WHEELS_ON,DISTANCE,0.01881051120864862
334,WHEELS_ON,WHEELS_ON,1.0
335,WHEELS_ON,TAXI_IN,-0.004470631160616276
336,WHEELS_ON,SCHEDULED_ARRIVAL,0.8701053559929017
337,WHEELS_ON,ARRIVAL_TIME,0.9675330964468647
338,WHEELS_ON,ARRIVAL_DELAY,0.05842477280780231
339,WHEELS_ON,DIVERTED,0.00693964642440307
340,WHEELS_ON,AIR_SYSTEM_DELAY,0.0076770957289955
341,WHEELS_ON,SECURITY_DELAY,-0.005966998561184471
342,WHEELS_ON,AIRLINE_DELAY,-0.0603046521290045
343,WHEELS_ON,LATE_AIRCRAFT_DELAY,-0.0065647840900375535
344,WHEELS_ON,WEATHER_DELAY,-0.02673466217273811
345,TAXI_IN,MONTH,0.0026680891729744132
346,TAXI_IN,DAY,-0.0016637146116868372
347,TAXI_IN,DAY_OF_WEEK,0.0022774387224218963
348,TAXI_IN,FLIGHT_NUMBER,-0.019139310247037338
349,TAXI_IN,SCHEDULED_DEPARTURE,-0.04514902785953225
350,TAXI_IN,DEPARTURE_TIME,-0.04097770166316887
351,TAXI_IN,DEPARTURE_DELAY,0.01237657441754259
352,TAXI_IN,TAXI_OUT,0.0019241733426970894
353,TAXI_IN,WHEELS_OFF,-0.03912403788694297
354,TAXI_IN,SCHEDULED_TIME,0.09873562915437464
355,TAXI_IN,ELAPSED_TIME,0.1558678318231611
356,TAXI_IN,AIR_TIME,0.08215417077562634
357,TAXI_IN,DISTANCE,0.07484016629361466
358,TAXI_IN,WHEELS_ON,-0.004470631160616276
359,TAXI_IN,TAXI_IN,1.0
360,TAXI_IN,SCHEDULED_ARRIVAL,-0.007292570836717033
361,TAXI_IN,ARRIVAL_TIME,0.0021076287168028136
362,TAXI_IN,ARRIVAL_DELAY,0.11624918930651293
363,TAXI_IN,DIVERTED,0.02269410141033645
364,TAXI_IN,AIR_SYSTEM_DELAY,0.24053096387989967
365,TAXI_IN,SECURITY_DELAY,-0.00545373843035552
366,TAXI_IN,AIRLINE_DELAY,-0.04943281516194128
367,TAXI_IN,LATE_AIRCRAFT_DELAY,-0.0566149295052218
368,TAXI_IN,WEATHER_DELAY,-0.0004461018305401373
369,SCHEDULED_ARRIVAL,MONTH,-0.009875264962635195
370,SCHEDULED_ARRIVAL,DAY,-0.003583286551319105
371,SCHEDULED_ARRIVAL,DAY_OF_WEEK,0.006693170948433893
372,SCHEDULED_ARRIVAL,FLIGHT_NUMBER,-0.014896245122365924
373,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,0.7061638088017872
374,SCHEDULED_ARRIVAL,DEPARTURE_TIME,0.7096577546434429
375,SCHEDULED_ARRIVAL,DEPARTURE_DELAY,0.09784380650294297
376,SCHEDULED_ARRIVAL,TAXI_OUT,0.024317999124646373
377,SCHEDULED_ARRIVAL,WHEELS_OFF,0.7215446747970985
378,SCHEDULED_ARRIVAL,SCHEDULED_TIME,0.03177138268816957
379,SCHEDULED_ARRIVAL,ELAPSED_TIME,0.03093935836903231
380,SCHEDULED_ARRIVAL,AIR_TIME,0.02938449151856986
381,SCHEDULED_ARRIVAL,DISTANCE,0.02727646964015326
382,SCHEDULED_ARRIVAL,WHEELS_ON,0.8701053559929017
383,SCHEDULED_ARRIVAL,TAXI_IN,-0.007292570836717033
384,SCHEDULED_ARRIVAL,SCHEDULED_ARRIVAL,1.0
385,SCHEDULED_ARRIVAL,ARRIVAL_TIME,0.8616455652591488
386,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,0.0891767218400622
387,SCHEDULED_ARRIVAL,DIVERTED,0.004867465857346277
388,SCHEDULED_ARRIVAL,CANCELLED,0.006626568307326981
389,SCHEDULED_ARRIVAL,AIR_SYSTEM_DELAY,-0.02880635748277974
390,SCHEDULED_ARRIVAL,SECURITY_DELAY,-0.004318948761366208
